mode,index,elapsed_min,gpu_util
async,0,0.0,38.83332828481709
async,0,0.5063532081847542,78.4333242460041
async,0,0.6241682765962799,77.23333232363008
async,0,0.7594354675328286,75.0833308090752
async,0,0.7762023492834433,75.11667121033129
async,0,0.7929526793245314,76.0
async,0,0.860083102823192,74.76666767636992
async,0,0.9608863241831069,70.50000504851624
async,0,0.9951020181168392,71.09999091267076
async,0,1.0118523481579271,71.98331970233949
async,0,1.0286026781990152,70.78332777996548
async,0,1.078900013108954,71.44999444663213
async,0,1.2667023300834603,68.01666010359556
async,0,1.2977334751042426,67.89999899029675
async,0,1.4191832989278466,68.74998737870939
async,0,1.4495523755675581,68.7166671715183
async,0,1.509969425682162,67.6833368672947
async,0,1.5484024952033146,68.23332222659761
async,0,1.5914336296310028,68.58332576055898
async,0,1.9371690485680122,75.23333232363008
async,0,1.954366274766323,74.83332828481709
async,0,2.0214503534783086,73.69999697089025
async,0,2.071734447020626,73.89999899029675
async,0,2.13908335308504,76.30000302910975
async,0,2.1729183576996567,74.81666818122154
async,0,2.256967938676578,73.0833308090752
async,0,2.2064190177818324,75.16667171518291
async,0,2.2904685987587543,73.26667272488615
async,0,2.4085518048646137,76.93332929452033
async,0,2.4253021349057016,76.93332929452033
async,0,2.576386139466029,78.76666767636992
async,0,2.744402542872238,75.44999444663213
async,0,2.795216291119412,75.599995961187
async,0,2.811983172870027,75.599995961187
async,0,2.8458181774846434,75.81665808418906
async,0,2.8627671280400526,75.44999444663213
async,0,2.8965028223975087,74.56666565696342
async,0,2.9639344870095563,74.89998889326426
async,0,3.0142351322614003,74.76666767636992
async,0,3.1315834424642714,75.29999293207726
async,0,3.1650841025464476,75.69999697089025
async,0,3.299169501422785,77.04999040781914
async,0,3.316002590011507,76.9166691909248
async,0,3.4000521709884284,75.34999343692888
async,0,3.5006004960216313,73.76665757933743
async,0,3.517350826062719,74.16666161815043
async,0,3.5341342595228604,74.30000302910975
async,0,3.55113286520685,73.78333787699795
async,0,3.669285588492722,72.6333262654106
async,0,3.618968391531351,73.96665959874393
async,0,3.686016056482378,73.13333131392683
async,0,3.7195531303255125,74.2000020194065
async,0,3.7865842435670127,73.93333939155282
async,0,3.836851785399803,73.0833308090752
async,0,3.9015524179399343,72.23332222659761
async,0,3.935367560503119,72.93332929452033
async,0,4.0526529742097885,72.2000020194065
async,0,4.086150323950059,72.10000100970325
async,0,4.170034387831713,73.19999192237401
async,0,4.220735584454105,72.4333242460041
async,0,4.254501071888709,73.34999343692888
async,0,4.776402956002908,78.88332878966871
async,0,4.9445186696662775,76.94998939811589
async,0,4.995200004237238,76.58332576055898
async,0,5.02895225030422,76.86666868607317
async,0,5.046119683425383,76.98332979937196
async,0,5.079650136584707,76.61666616181505
async,0,5.09681756970587,76.86666868607317
async,0,5.130566505430947,76.28332273144923
async,0,5.181052529829491,77.03333030422358
async,0,5.214834568973622,78.56666565696342
async,0,5.282918370941024,77.78333787699795
async,0,5.367252641321806,76.06666060844718
async,0,5.40078309448113,76.28332273144923
async,0,5.417566527941272,76.5166651521118
async,0,5.451133394861555,76.15000151455487
async,0,5.467916828321696,76.25000252425812
async,0,5.5854174142522135,75.7999979805935
async,0,5.719552468257131,74.16666161815043
async,0,5.921483324483686,71.19999192237401
async,0,5.938468688800054,71.73333737214632
async,0,6.001901460390435,71.06667070547967
async,0,6.018651790431523,71.34999343692888
async,0,6.05225176077086,70.66666666666667
async,0,6.086033799914991,71.39999394178051
async,0,6.1029165436322925,71.31665303567281
async,0,6.1542334638490805,71.69999697089025
async,0,6.137416926969885,71.21667222003452
async,0,6.171066552437802,71.54999545633538
async,0,6.221466507946807,70.61666616181505
async,0,6.2722504631168325,70.9166691909248
async,0,6.390019186741683,71.74999747574188
async,0,6.423566191610535,71.43333434303658
async,0,6.457133058530817,71.0833308090752
async,0,6.490733028870154,71.34999343692888
async,0,6.507635634638888,71.74999747574188
async,0,6.541368018654438,70.74998737870939
async,0,6.574901782155668,71.23333232363008
async,0,6.5921354221149375,70.26666262785368
async,0,6.676602106171934,70.9166691909248
async,0,6.811869297108482,74.30000302910975
async,0,6.878883858640456,75.44999444663213
async,0,6.912735414964599,75.16667171518291
async,0,6.9295354001342675,74.76666767636992
async,0,6.98015052786712,75.2833328284817
async,0,7.014084842738898,75.04999040781914
async,0,7.064335832862161,75.46665455022769
async,0,7.081086162903249,75.09999091267076
async,0,7.266885723025017,71.64999646603863
async,0,7.300416176184341,71.44999444663213
async,0,7.502217929076587,65.61665606478256
async,0,7.519001362536728,65.51665505507931
async,0,7.586217854924928,63.73333737214632
async,0,7.619950238940478,64.76666767636992
async,0,7.636700568981567,64.76666767636992
async,0,7.687434869023012,64.03334040125607
async,0,7.721150701329036,64.56666565696342
async,0,7.821834750380359,65.33333333333333
async,0,7.838969080082467,64.9166691909248
async,0,7.889266414992406,65.9166590938923
async,0,8.104001673708867,71.56665555993094
async,0,8.52676874878345,84.2000020194065
async,0,8.543783906176966,84.30000302910975
async,0,8.611917363272948,86.5499853593029
async,0,8.645835126435198,85.76665757933743
async,0,8.662585456476286,85.46665455022769
async,0,8.679335786517374,86.0
async,0,8.71293575685671,86.79998788356102
async,0,8.780350869759232,86.58332576055898
async,0,8.797299820314642,86.64998636900614
async,0,8.814083253774783,86.5166651521118
async,0,8.847901706679872,86.13332121689436
async,0,8.864734795268594,86.5499853593029
async,0,8.881485125309682,87.0666505114147
async,0,8.932000942785375,86.48332475085573
async,0,8.94876782453599,86.48332475085573
async,0,9.083353085040036,84.18332172174598
async,0,9.100500656109766,84.23332222659761
async,0,9.370833107126636,78.08332071204273
async,0,9.474417015687049,79.14999141752239
async,0,9.508367882268352,79.09999091267076
async,0,9.592202291021426,79.01667020062804
async,0,9.609551792947382,79.73333737214632
async,0,9.626318674697998,78.28332273144923
async,0,9.6937834427291,79.56665555993094
async,0,9.996736002881322,81.9166590938923
async,0,10.206634852074062,86.58332576055898
async,0,10.223467940662783,86.5499853593029
async,0,10.290634777922403,85.9166590938923
async,0,10.324135438004578,86.36666363755693
async,0,10.340902319755193,86.68332677026223
async,0,10.37460160035169,85.86665858904068
async,0,10.39140158552136,86.38332374115248
async,0,10.795852538833621,76.21666212300205
async,0,11.03188322702722,68.56666565696342
async,0,11.217768856038527,64.35000353396137
async,0,11.23451587573771,63.84999848544513
async,0,11.268119156418951,64.7166671715183
async,0,11.301702575048761,64.6333262654106
async,0,11.31851580158605,64.53332525570735
async,0,11.335266131627138,64.83332828481709
async,0,11.688102233951131,69.71665707448581
async,0,11.704869115701745,68.78332777996548
async,0,11.771949884071827,69.78333787699795
